Receive Date,AMIC ID,Commodity,NOS,Origin Protein,Leco Protein,WGA Protein
6/8/2026,2001-26-001463,Other,MONT270002,,9.04,9.2
6/8/2026,2001-26-001467,HRS,"OMAS270001, SAGI270001, COLU270001, AYER270001",14,14.3,14.2
6/9/2026,2001-26-001469,HRS,FAIR270002,13.71,14.19,14.4
6/10/2026,2001-26-001486,HRS,HOUS270001,14.4,14.39,14.7
6/10/2026,2001-26-001487,HRS,AYER270003,14.36,14.47,14.6
6/10/2026,2001-26-001488,HRS,FAIR270003,14.2,14.27,14.4
6/10/2026,2001-26-001497,HRS,FAIR270001,13.44,13.32,13.6
6/15/2026,2001-26-001541,HRS,"ALTO27003, OMAS270002, AMEL270003, AMEL270004",14.63,14.47,14.7
6/15/2026,2001-26-001542,HRS,AMCC270001,15.1,15.21,15.2
6/15/2026,2001-26-001543,HRS,KENO270005,14.36,14.39,14.6
6/15/2026,2001-26-001544,HRS,ALBA270002,15.11,15.13,15.5
6/16/2026,2001-26-001550,HRS,"STOC270002, SANB270002, COLT270008",15.04,15.2,15.3
6/16/2026,2001-26-001558,HRS,DECA270011,14.04,14.17,14.3
6/18/2026,2001-26-001594,HRW,REDW270004,12.25,12.36,12.4
6/19/2026,1008-26-001916,HRS,COLU270001,,14.24,14.4
6/19/2026,1008-26-001917,HRS,COLU270002,14.15,13.96,14.4
6/23/2026,2001-26-001672,HRS,ALBA270004,14.65,14.5,14.8
6/23/2026,2001-26-001681,HRS,ALBA270007,15.02,15.05,15
6/24/2026,2001-26-001686,HRS,ALBA270008,15.17,14.94,15.3
6/24/2026,2001-26-001687,HRS,DECA270022,14.48,14.31,14.7
6/26/2026,2001-26-001707,HRW,LAKE270006,12.55,12.51,12.6
6/26/2026,2001-26-001708,HRS,OMAS270006 ; AMEL270005 ; AYER270007 ; COLU270003,14.03,14.18,14.2
6/26/2026,2001-26-001710,HRS,"SAGI270005, ALTO270008",14.16,13.82,14.2
6/26/2026,2001-26-001711,Other,HAST270007,15.34,15.19,15.3
6/26/2026,2001-26-001717,HRW,SHER270005,13.45,13.49,13.5
6/29/2026,2001-26-001728,Other,NOVA270001,,13.91,14.3
6/29/2026,2001-26-001729,Other,NOVA270002,,14.09,14.4
6/29/2026,2001-26-001736,HRS,OMAS270007,14.42,14.43,14.7
6/29/2026,2001-26-001743,HRW,DECA270034,11.79,11.83,12.1
6/30/2026,2001-26-001750,HRS,"SAGI270006, AMEL270006",13.99,13.95,14.1
6/30/2026,2001-26-001751,HRS,ALBA270010,15.08,15.06,15.3
7/1/2026,1013-26-007334,HRS,Fair27-003,,14.1,
7/1/2026,2001-26-001763,HRS,FAIR270008,14.11,14.08,14.4
7/2/2026,1008-26-001931,HRS,COLU270003,,13.88,14.1
7/2/2026,1008-26-001932,HRW,COLU270004,12.88,13.14,13.4
7/6/2026,2001-26-001802,HRS,MTPO270017,14.76,14.82,15.2
7/6/2026,2001-26-001803,HRS,ALBA270011,14.16,13.98,14.4
7/6/2026,2001-26-001804,HRS,ALBA270011,,14.1,14.3
7/6/2026,2001-26-001805,HRS,AMEL270007 ; SAGI270007,14.24,14.12,14.5
7/6/2026,2001-26-001815,HRW,SHER270009,13.7,14.59,12.7
7/6/2026,2001-26-001816,HRW,CHAT270021,11.3,11.46,11.6
7/6/2026,2001-26-001817,HRW,CHAT270022,11.4,11.38,11.7
7/8/2026,2001-26-001861,HRS,"AMEL270008, SAGI270009, AHER270011",14.06,13.45,13.9
7/8/2026,2001-26-001862,HRS,AMCC270007,15.13,14.87,15.3
7/9/2026,2001-26-001891,HRS,KENO270019,14.03,,14.4
7/9/2026,2001-26-001893,HRS,LAKE270008,14.01,,14.2
7/9/2026,2001-26-001894,HRS,DECA270037,14.07,,14.3
7/10/2026,1013-26-007535,HRS,FAIR270009,14.05,,
7/10/2026,2001-26-001904,HRS,ALTO270011,15.14,,
