Receive Date,AMIC ID,Commodity,NOS,Origin Protein,Leco Protein,WGA Protein
6/4/2025,2001-25-001829,HRS,LAKE260003,14.14,14.24,14.2
6/4/2025,2001-25-001830,HRS,ALTO260001,14.3,14.49,14.5
6/4/2025,2001-25-001832,HRW,MART260001,11.87,12,11.9
6/9/2025,2001-25-001867,HRS,HAST260002,15.18,15.47,15.3
6/9/2025,2001-25-001868,HRS,LAKE260006,14.16,14.35,14.1
6/9/2025,2001-25-001869,HRS,ALBA260001,14.99,15.44,15.1
6/10/2025,2001-25-001880,Other,MISS260001,,14.33,14.4
6/11/2025,2001-25-001915,HRS,KENO260003,14.06,14.11,14.1
6/12/2025,2001-25-001964,HRS,LAKE260007,14,14.2,14.3
6/12/2025,2001-25-001965,Other,MONT260001,,13.9,14.5
6/12/2025,2001-25-001968,HRS,SAGI260003,14.06,13.91,14.3
6/13/2025,1018-25-006853,HRS,LAKE260004,14.03,14.09,14.3
6/16/2025,2001-25-002003,HRW,DECA260002,11.48,11.37,11.5
6/16/2025,2001-25-002015,HRW,HAST260007,12.06,12.12,12.2
6/17/2025,2001-25-002018,HRS,FAIR260005,13.47,13.42,13.5
6/20/2025,2001-25-002088,HRS,AMCC260004,14.04,14.48,14.1
6/20/2025,2001-25-002089,HRS,AMCC260003,13.93,14.02,14.2
6/20/2025,2001-25-002090,HRS,"MTPO260012 , HAST260008 , KENO260007 , MART260007",13.68,13.81,13.9
6/23/2025,1008-25-002823,HRS,COLU260001,14,13.8,14
6/23/2025,1018-25-007196,HRS,LAKE260002,15.2,14.99,14.9
6/23/2025,1018-25-007497,HRS,LAKE260003,,14.22,14.2
6/23/2025,1018-25-007498,HRS,Lake260005,14.15,14.19,14.2
6/23/2025,1018-25-007499,HRS,LAKE260006,,14.28,14.2
6/23/2025,2001-25-002104,HRS,COLU260002,14.33,14.57,14.6
6/23/2025,2001-25-002105,HRS,SAGI260008,14.51,14.65,14.4
6/23/2025,2001-25-002106,HRS,OMAS260005,14.24,14.45,14.5
6/23/2025,2001-25-002112,HRW,ALTO260008,13.4,13.22,13.2
6/23/2025,2001-25-002114,HRW,COLT260008,12.9,12.51,12.6
6/23/2025,2001-25-002115,HRS,"KENO260010, CHAT260011, MTPO260013",14.14,14.29,14.5
6/24/2025,1013-25-005814,HRS,Fair26-0005,,,13.5
6/24/2025,2001-25-002128,Other,AMCC26T0002,,16.31,15.9
6/24/2025,2001-25-002130,Other,AMCC26T0002,,15.15,14.9
6/24/2025,2001-25-002131,Other,OGDE26T0005,,15.12,14.9
6/24/2025,2001-25-002133,Other,OGDE26T0004,,14.32,14.5
6/24/2025,2001-25-002134,Other,AMCC26T0001,,14.99,14.8
6/24/2025,2001-25-002135,Other,OGDE26T0003,,13.32,13.2
6/24/2025,2001-25-002137,Other,OGDE26T0002,,16.02,15.7
6/24/2025,2001-25-002142,HRS,SHER260004,13.09,13.23,13.1
6/24/2025,2001-25-002143,HRS,CULP260009,13.14,13.29,13.4
6/24/2025,2001-25-002144,HRS,OMAS260007,12.96,13.16,13
6/24/2025,2001-25-002145,HRS,OMAN260004,12.96,13.09,13
6/25/2025,1008-25-002824,HRW,COLU260003,12.95,13.38,13.2
6/25/2025,2001-25-002163,HRS,"AYER260004, DECA260007, CHAT260013, MART260010",13.83,13.97,14.1
6/25/2025,2001-25-002164,HRS,FAIR260008,13.69,13.76,13.9
6/25/2025,2001-25-002165,HRW,KENO260012,11.61,11.53,11.6
6/25/2025,2001-25-002166,HRW,LAKE260013,11.59,11.65,11.5
6/25/2025,2001-25-002167,HRW,HAST260011,11.51,11.45,11.6
6/26/2025,1013-25-005814,HRS,Fair26-0005,,13.63,
6/26/2025,2001-25-002198,HRS,FAIR260009,13.95,13.78,14.1
6/26/2025,2001-25-002199,HRS,"HOUS260001 , OMAN260005 , OMAS260008 , SAGI260011",14,14.22,14.2
6/27/2025,2001-25-002225,HRS,ALBA260004,15.12,15.39,15.1
7/3/2025,2001-25-002345,HRS,KENO260014,14.07,14.3,14.2
7/3/2025,2001-25-002346,Other,KLAM26T0001,,17.21,17.1
7/3/2025,2001-25-002347,Other,OGDE26T0010,,14.83,15
7/3/2025,2001-25-002348,Other,OGDE26T0009,,14.79,14.9
7/3/2025,2001-25-002349,Other,OGDE26T0006,,14.3,14.1
7/3/2025,2001-25-002350,Other,OGDE26T0008,,13.64,12.9
7/3/2025,2001-25-002351,Other,OGDE26T0007,,15.26,15.1
7/7/2025,2001-25-002399,HRS,"COLT260020, SANB260008, STOC260004",15.02,15.3,15.2
7/8/2025,2001-25-002406,HRW,HAST260012,12.02,11.9,11.9
7/8/2025,2001-25-002407,HRW,KENO260013,11.74,11.93,11.9
7/8/2025,2001-25-002408,HRS,MART260015,15.09,15.13,15.2
7/8/2025,2001-25-002409,HRW,"CHAT260019, DECA260018, ALTO260014",12.55,12.7,12.5
7/8/2025,2001-25-002410,HRW,SANB260009,12.01,12.25,12.2
7/9/2025,2001-25-002421,Other,KLAM26T0002,,18.08,18
7/9/2025,2001-25-002422,Other,KLAM26T0002,,16.77,16.9
7/9/2025,2001-25-002427,HRW,Lake260014,12.5,12.64,12.7
7/9/2025,2001-25-002428,HRS,MART260018,13.99,13.96,14.1
7/9/2025,2001-25-002429,HRS,AYER260006,12.96,13.05,13
7/11/2025,2001-25-002480,HRW,COLT260021,12.05,12.07,12.2
7/14/2025,2001-25-002492,HRS,"COLU260004 , KENO260021 , MTPO260034 , HOUS260003",14.06,14.09,14.2
7/14/2025,2001-25-002493,HRS,"AMEL260003 , SAGI260015",14.1,14,14.1
7/15/2025,2001-25-002512,HRW,HAST260017,11.79,11.77,11.9
7/15/2025,2001-25-002513,HRS,KENO260017,15.12,15.44,15.2
7/16/2025,1018-25-008327,HRS,LAKE260010,14.15,14.13,14.3
7/16/2025,1018-25-008328,HRS,LAKE260012,14.8,14.92,15
7/16/2025,2001-25-002534,Other,NOVA260001,,14.37,14.4
7/16/2025,2001-25-002535,HRS,"CHAT260035 , KENO260023 , MTPO260041",13.64,13.86,14
7/17/2025,1015-25-007888,HRW,HOUS260002,12.01,,12.1
7/17/2025,2001-25-002545,Other,HAST260018,15.09,15.6,15.5
7/17/2025,2001-25-002546,HRW,COLU260005,12.01,12.09,12.1
7/18/2025,1022-25-006219,HRS,MART260010,,13.92,13.8
7/18/2025,1022-25-006220,HRS,MART260007,,13.8,14.1
7/18/2025,2001-25-002588,HRW,KENO260026,12.15,12.11,12.2
7/21/2025,1015-25-007889,HRW,HOUS260002,,11.6,11.5
7/21/2025,1018-25-008750,Other,LAKE26T002/003,,12.54,12.4
7/21/2025,2001-25-002606,HRW,HOUS260002,,12.17,11.9
7/21/2025,2001-25-002607,Other,AMCC26T0004,,15.12,15.4
7/21/2025,2001-25-002608,Other,OGDE26T0011,,15.28,15.4
7/21/2025,2001-25-002609,Other,OGDE26T0011,,13.64,13.7
7/23/2025,1018-25-008755,HRW,LAKE260013,,11.11,11
7/23/2025,2001-25-002634,HRS,"CHAT260036, DECA260026, KENO260029",14.33,14.37,14.5
7/23/2025,2001-25-002635,HRS,KENO260028,15.18,15.65,15.5
7/23/2025,2001-25-002646,HRS,FAIR260015,14.2,14.38,14.4
7/24/2025,2001-25-002656,HRW,ALTO260024,11.8,12.03,12.2
7/25/2025,2001-25-002673,HRS,FAIR260016,13.96,14.1,14
7/28/2025,1008-25-003271,HRW,COLU260005,,11.99,11.9
7/28/2025,1018-25-008756,HRW,Lake260014,,12.7,12.8
7/28/2025,2001-25-002776,HRW,ALTO260023,11.34,11.44,11.5
7/28/2025,2001-25-002777,HRS,ALBA260008,14,13.91,14.2
7/29/2025,2001-25-002808,HRW,SANB260012,12.33,11.77,11.6
